service,metric,family,unit,namespace,pod,persistentvolumeclaim,timestamp,timestamp_unix,value,labels_json
pbx-web,disk_read_bytes_per_second,disk_io,bytes_per_second,pbx-web,lab-rebuild-relay-79957dbd4-xsqhl,,2026-07-31T13:44:38.362000Z,1785505478.362,0.0,"{""namespace"":""pbx-web"",""pod"":""lab-rebuild-relay-79957dbd4-xsqhl""}"
pbx-web,disk_read_bytes_per_second,disk_io,bytes_per_second,pbx-web,lab-rebuild-relay-79957dbd4-xsqhl,,2026-07-31T14:44:38.362000Z,1785509078.362,0.0,"{""namespace"":""pbx-web"",""pod"":""lab-rebuild-relay-79957dbd4-xsqhl""}"
pbx-web,disk_read_bytes_per_second,disk_io,bytes_per_second,pbx-web,lab-rebuild-relay-79957dbd4-xsqhl,,2026-07-31T15:44:38.362000Z,1785512678.362,0.0,"{""namespace"":""pbx-web"",""pod"":""lab-rebuild-relay-79957dbd4-xsqhl""}"
pbx-web,disk_read_bytes_per_second,disk_io,bytes_per_second,pbx-web,lab-rebuild-relay-79957dbd4-xsqhl,,2026-07-31T16:44:38.362000Z,1785516278.362,0.0,"{""namespace"":""pbx-web"",""pod"":""lab-rebuild-relay-79957dbd4-xsqhl""}"
pbx-web,disk_read_bytes_per_second,disk_io,bytes_per_second,pbx-web,lab-rebuild-relay-79957dbd4-xsqhl,,2026-07-31T17:44:38.362000Z,1785519878.362,0.0,"{""namespace"":""pbx-web"",""pod"":""lab-rebuild-relay-79957dbd4-xsqhl""}"
pbx-web,disk_read_bytes_per_second,disk_io,bytes_per_second,pbx-web,lab-rebuild-relay-79957dbd4-xsqhl,,2026-07-31T18:44:38.362000Z,1785523478.362,0.0,"{""namespace"":""pbx-web"",""pod"":""lab-rebuild-relay-79957dbd4-xsqhl""}"
pbx-web,disk_read_bytes_per_second,disk_io,bytes_per_second,pbx-web,lab-rebuild-relay-79957dbd4-xsqhl,,2026-07-31T19:44:38.362000Z,1785527078.362,0.0,"{""namespace"":""pbx-web"",""pod"":""lab-rebuild-relay-79957dbd4-xsqhl""}"
pbx-web,disk_read_bytes_per_second,disk_io,bytes_per_second,pbx-web,lab-rebuild-relay-79957dbd4-xsqhl,,2026-07-31T20:44:38.362000Z,1785530678.362,0.0,"{""namespace"":""pbx-web"",""pod"":""lab-rebuild-relay-79957dbd4-xsqhl""}"
pbx-web,disk_read_bytes_per_second,disk_io,bytes_per_second,pbx-web,lab-rebuild-relay-79957dbd4-xsqhl,,2026-07-31T21:44:38.362000Z,1785534278.362,0.0,"{""namespace"":""pbx-web"",""pod"":""lab-rebuild-relay-79957dbd4-xsqhl""}"
pbx-web,disk_read_bytes_per_second,disk_io,bytes_per_second,pbx-web,lab-rebuild-relay-79957dbd4-xsqhl,,2026-07-31T22:44:38.362000Z,1785537878.362,0.0,"{""namespace"":""pbx-web"",""pod"":""lab-rebuild-relay-79957dbd4-xsqhl""}"
pbx-web,disk_read_bytes_per_second,disk_io,bytes_per_second,pbx-web,lab-rebuild-relay-79957dbd4-xsqhl,,2026-07-31T23:44:38.362000Z,1785541478.362,0.0,"{""namespace"":""pbx-web"",""pod"":""lab-rebuild-relay-79957dbd4-xsqhl""}"
