service,metric,namespace,pod,timestamp,timestamp_unix,value,unit,cpu_cores,cpu_percent_of_one_core,memory_bytes,memory_mib
pbx-web,cpu_usage,pbx-web,lab-rebuild-relay-79957dbd4-xsqhl,2026-07-30T18:14:01.927000Z,1785435241.927,0.0003917287278386098,cores,0.0003917287278386098,0.03917287278386098,,
pbx-web,cpu_usage,pbx-web,lab-rebuild-relay-79957dbd4-xsqhl,2026-07-30T19:14:01.927000Z,1785438841.927,0.00024645071687099697,cores,0.00024645071687099697,0.024645071687099698,,
pbx-web,cpu_usage,pbx-web,lab-rebuild-relay-79957dbd4-xsqhl,2026-07-30T20:14:01.927000Z,1785442441.927,0.0003902419949880327,cores,0.0003902419949880327,0.03902419949880327,,
pbx-web,cpu_usage,pbx-web,lab-rebuild-relay-79957dbd4-xsqhl,2026-07-30T21:14:01.927000Z,1785446041.927,0.00037614595060897217,cores,0.00037614595060897217,0.03761459506089722,,
pbx-web,cpu_usage,pbx-web,lab-rebuild-relay-79957dbd4-xsqhl,2026-07-30T22:14:01.927000Z,1785449641.927,0.0003931656231594017,cores,0.0003931656231594017,0.03931656231594017,,
pbx-web,cpu_usage,pbx-web,lab-rebuild-relay-79957dbd4-xsqhl,2026-07-30T23:14:01.927000Z,1785453241.927,0.0004055777611236088,cores,0.0004055777611236088,0.04055777611236088,,
pbx-web,cpu_usage,pbx-web,lab-rebuild-relay-79957dbd4-xsqhl,2026-07-31T00:14:01.927000Z,1785456841.927,0.00040509776834667485,cores,0.00040509776834667485,0.040509776834667485,,
pbx-web,cpu_usage,pbx-web,lab-rebuild-relay-79957dbd4-xsqhl,2026-07-31T01:14:01.927000Z,1785460441.927,0.0004072194945169062,cores,0.0004072194945169062,0.04072194945169062,,
pbx-web,cpu_usage,pbx-web,lab-rebuild-relay-79957dbd4-xsqhl,2026-07-31T02:14:01.927000Z,1785464041.927,0.00039585032747211057,cores,0.00039585032747211057,0.039585032747211056,,
pbx-web,cpu_usage,pbx-web,lab-rebuild-relay-79957dbd4-xsqhl,2026-07-31T03:14:01.927000Z,1785467641.927,0.0004047887207872962,cores,0.0004047887207872962,0.04047887207872962,,
pbx-web,cpu_usage,pbx-web,lab-rebuild-relay-79957dbd4-xsqhl,2026-07-31T04:14:01.927000Z,1785471241.927,0.00039300640165494097,cores,0.00039300640165494097,0.039300640165494095,,
pbx-web,cpu_usage,pbx-web,lab-rebuild-relay-79957dbd4-xsqhl,2026-07-31T05:14:01.927000Z,1785474841.927,0.0004148708175388971,cores,0.0004148708175388971,0.04148708175388971,,
pbx-web,cpu_usage,pbx-web,lab-rebuild-relay-79957dbd4-xsqhl,2026-07-31T06:14:01.927000Z,1785478441.927,0.0003988261424802336,cores,0.0003988261424802336,0.039882614248023356,,
pbx-web,cpu_usage,pbx-web,lab-rebuild-relay-79957dbd4-xsqhl,2026-07-31T07:14:01.927000Z,1785482041.927,0.00041625335831132153,cores,0.00041625335831132153,0.041625335831132156,,
pbx-web,cpu_usage,pbx-web,lab-rebuild-relay-79957dbd4-xsqhl,2026-07-31T08:14:01.927000Z,1785485641.927,0.00040170682514728675,cores,0.00040170682514728675,0.040170682514728676,,
pbx-web,cpu_usage,pbx-web,lab-rebuild-relay-79957dbd4-xsqhl,2026-07-31T09:14:01.927000Z,1785489241.927,0.0003529625364415911,cores,0.0003529625364415911,0.03529625364415911,,
pbx-web,cpu_usage,pbx-web,lab-rebuild-relay-79957dbd4-xsqhl,2026-07-31T10:14:01.927000Z,1785492841.927,0.00039464014101530076,cores,0.00039464014101530076,0.039464014101530075,,
pbx-web,cpu_usage,pbx-web,lab-rebuild-relay-79957dbd4-xsqhl,2026-07-31T11:14:01.927000Z,1785496441.927,0.00039347893198933125,cores,0.00039347893198933125,0.03934789319893313,,
pbx-web,cpu_usage,pbx-web,lab-rebuild-relay-79957dbd4-xsqhl,2026-07-31T12:14:01.927000Z,1785500041.927,0.0003951721611214852,cores,0.0003951721611214852,0.03951721611214852,,
pbx-web,cpu_usage,pbx-web,lab-rebuild-relay-79957dbd4-xsqhl,2026-07-31T13:14:01.927000Z,1785503641.927,0.00042168947304431265,cores,0.00042168947304431265,0.04216894730443126,,
pbx-web,cpu_usage,pbx-web,lab-rebuild-relay-79957dbd4-xsqhl,2026-07-31T14:14:01.927000Z,1785507241.927,0.00039830121189836663,cores,0.00039830121189836663,0.03983012118983666,,
pbx-web,cpu_usage,pbx-web,lab-rebuild-relay-79957dbd4-xsqhl,2026-07-31T15:14:01.927000Z,1785510841.927,0.0004119887241974418,cores,0.0004119887241974418,0.041198872419744174,,
pbx-web,cpu_usage,pbx-web,lab-rebuild-relay-79957dbd4-xsqhl,2026-07-31T16:14:01.927000Z,1785514441.927,0.00040529706564167357,cores,0.00040529706564167357,0.04052970656416736,,
pbx-web,cpu_usage,pbx-web,lab-rebuild-relay-79957dbd4-xsqhl,2026-07-31T17:14:01.927000Z,1785518041.927,0.0004043226966910097,cores,0.0004043226966910097,0.04043226966910097,,
pbx-web,cpu_usage,pbx-web,lab-rebuild-relay-79957dbd4-xsqhl,2026-07-31T18:14:01.927000Z,1785521641.927,0.0004138656876675906,cores,0.0004138656876675906,0.04138656876675906,,
pbx-web,cpu_usage,pbx-web,lab-rebuild-relay-79957dbd4-xsqhl,2026-07-31T19:14:01.927000Z,1785525241.927,0.00039816411489086934,cores,0.00039816411489086934,0.039816411489086934,,
pbx-web,cpu_usage,pbx-web,lab-rebuild-relay-79957dbd4-xsqhl,2026-07-31T20:14:01.927000Z,1785528841.927,0.0004091868558866607,cores,0.0004091868558866607,0.04091868558866607,,
pbx-web,cpu_usage,pbx-web,lab-rebuild-relay-79957dbd4-xsqhl,2026-07-31T21:14:01.927000Z,1785532441.927,0.0003952102633144232,cores,0.0003952102633144232,0.03952102633144232,,
